college,percentage,Location,Stream
"Sahyadri International School, Pashan, Pune (English Medium) (Permanent Unaided)",50,Pune,Commerce
Madhyamik Uccha Madhymik Vidyalaya (Marathi Medium) (Aided),49.4,Pune,Commerce
"Dhaneshwar Secondary Higher Scondary School, Dhanori Pune (Marathi Medium) (Permanent Unaided)",49.4,Pune,Commerce
Hhcp High School And Junior College For Girls Huzurpaga Laxmi Road Pune (English Medium) (Self Finance),49.2,Pune,Commerce
Fattechand Jain Vidyalaya Chinchwad (Marathi Medium) (Aided),49,Pune,Commerce
"Pragnya Junior College, Handewadi, Pune (English Medium) (Self Finance)",48.8,Pune,Commerce
Moledina High Shool And Junior College Pune (English Medium) (Unaided),48.8,Pune,Commerce
Alegaonkar H S And Smt C K Goyal Junior College Khadki (English Medium) (Aided),48.2,Pune,Commerce
Vishwakarma Jr. College Of Science And Commerce (Marathi Medium) (Unaided),48,Pune,Commerce
"Baburaoji Gholap Jr College, Sangavi, Pune (Marathi Medium) (Aided)",47.8,Pune,Commerce
Shikshan Maharshi Dr D Y Patil Arts Com And Science Jr College Shahunagar Chinchwad Pune (English Medium) (Permanent Unaided),47,Pune,Commerce
Dnyan Prasarak Vidya Mandir Jr College (English Medium) (Unaided),47,Pune,Commerce
Abhinav Education Society English Medium School And Jr College Ambegaon Bk Pune (English Medium) (Permanent Unaided),46.8,Pune,Commerce
Mount Carmel Convent High School And Junior College (English Medium) (Permanent Unaided),46.4,Pune,Commerce
Janki Devi Junior College (English Medium) (Self Finance),46.2,Pune,Commerce
Anglo Urdu Boys' High School & Jr.College (English Medium) (Unaided),45.8,Pune,Commerce
"A.P.J. College Of Science And Commerce, Wakad, Pune (English Medium) (Self Finance)",45.6,Pune,Commerce
"Dr. D. Y. Patil Arts, Commerce And Science Junior College, Sector 29, Akurdi, Pune (English Medium) (Unaided)",45.4,Pune,Commerce
Shivaji Vidhya Mandir And Junior College Aundh (Marathi Medium) (Aided),45.2,Pune,Commerce
S.N.B.P. Jr. College Morwadi Pimpri (English Medium) (Permanent Unaided),45.2,Pune,Commerce
Kilbil English Medium School & Jr. College (English Medium) (Self Finance),45,Pune,Commerce
Maharshi Vidya Mandir English Medium High School And Junior College Of Commerce And Science (English Medium) (Self Finance),45,Pune,Commerce
St. Ann'S Junior College Nigdi (English Medium) (Permanent Unaided),44.8,Pune,Commerce
"Jk College Science, Commerce And Arts (English Medium) (Self Finance)",44.8,Pune,Commerce
Aditya English Medium School And Junior College (English Medium) (Self Finance),44.8,Pune,Commerce
Rajmata Jijau Mahavidyalaya Landewadi (English Medium) (Unaided),44.8,Pune,Commerce
Sasane Education Societys Arts Commerce And Science Junior College (English Medium) (Permanent Unaided),44.6,Pune,Commerce
Rosary Jr. College Of Science & Commerce (English Medium) (Permanent Unaided),44.6,Pune,Commerce
Sarhad Public School (English Medium) (Self Finance),44.6,Pune,Commerce
Annasaheb Magar Jr. College (Marathi Medium) (Unaided),44.6,Pune,Commerce
Rajgad Dnyanpeeth Dnyanankur English Medium School And Junior College (English Medium) (Self Finance),44.4,Pune,Commerce
"Univarsal Jr College, Boradewadii, Pune (English Medium) (Self Finance)",44.4,Pune,Commerce
Pmc Baburaoji Sanas Kanyashala And Jr College (Marathi Medium) (Aided),44.2,Pune,Commerce
Ness Wadia College Of Commerce (Marathi Medium) (Aided),43.6,Pune,Commerce
Genba Sopanrao Moze English Medium School And Jr.College (English Medium) (Permanent Unaided),43.6,Pune,Commerce
Lady Hawabai For Girls Highschool And Jr. College (English Medium) (Self Finance),43.6,Pune,Commerce
Lohia School And Junior College (English Medium) (Self Finance),43.2,Pune,Commerce
Mahadji Shinde High School & Jr College (Marathi Medium) (Unaided),43.2,Pune,Commerce
Podar International Sch. Kharalwadi (English Medium) (Permanent Unaided),43,Pune,Commerce
Dnyanganga Junior College Of Commerce And Science (English Medium) (Self Finance),43,Pune,Commerce
S.P.International Jr. College (English Medium) (Unaided),42.8,Pune,Commerce
Renuka Swaroop Memorial Girls High School And Jr College (Marathi Medium) (Aided),42.6,Pune,Commerce
B. T. Shahani Hindi High School (English Medium) (Aided),42.6,Pune,Commerce
"Raghavdas Vidyalay, Waraje, Pune (English Medium) (Self Finance)",42.6,Pune,Commerce
Vitthalrao Shivarkar Highschool (Marathi Medium) (Unaided),42.6,Pune,Commerce
Gendibai Tarachand Chopda High And Jr College (Marathi Medium) (Unaided),42.6,Pune,Commerce
Shri Haribhau Balwantrao Girme Madhyamik And Uchha Madhyamik Vidyalaya (Marathi Medium) (Self Finance),42.4,Pune,Commerce
"Dhole Patils Jr. College Of Arts, Commerce And Science, Wagholi, Pune (English Medium) (Self Finance)",42,Pune,Commerce
Sou Anusaya Wadhokar Higher Secondary School Rupeenagar (Marathi Medium) (Unaided),41.8,Pune,Commerce
Shri Gopal High School & Adv Ram Sharma Science And Commerce Jr College Sadashiv Peth Pune (English Medium) (Self Finance),41.6,Pune,Commerce
Late Bandoji Khandoji Chavan Secondary And Higher Secondary School Dhayari (Marathi Medium) (Unaided),41.6,Pune,Commerce
Pune Global School And Junior College (English Medium) (Permanent Unaided),41.4,Pune,Commerce
Sarhad School And Junior College (English Medium) (Self Finance),41.2,Pune,Commerce
"Asm'S Commerce, Science & It Jr College, Purnanagar, Chinchvad, Pune (English Medium) (Self Finance)",41.2,Pune,Commerce
Sungrace High School And Jr. College (English Medium) (Permanent Unaided),41,Pune,Commerce
Prerna Madhyamik Vidyalay And Tukaram Gujar Jr College (Marathi Medium) (Aided),40.8,Pune,Commerce
Nrusigh High School And Jr College Sangavi (Marathi Medium) (Aided),40.8,Pune,Commerce
The New Millennium Eng Medium School And Jr College (English Medium) (Permanent Unaided),40.8,Pune,Commerce
Shri Bhairvanath Mad High Sch (Marathi Medium) (Unaided),40.6,Pune,Commerce
Trinity Junior College (English Medium) (Self Finance),40.2,Pune,Commerce
Abhishek Arts Commerce And Science Junior College (English Medium) (Permanent Unaided),40,Pune,Commerce
"Shantabai Shivram Pawar Junior College, Ambegaon Budruk , Haveli, Pune (Marathi Medium) (Self Finance)",40,Pune,Commerce
"Late. Zumbarbai Munot Sec School, Katraj, Pune (Marathi Medium) (Self Finance)",40,Pune,Commerce
Netaji Subhashchandra Bose Madhyamik Vidyalaya (Marathi Medium) (Aided),39.8,Pune,Commerce
"Peer Mohamed High School And Junior College For Girls, Bund Garden Road, Pune (English Medium) (Permanent Unaided)",39.8,Pune,Commerce
Sun Bright Junior College Ambegaon Bk Pune (Marathi Medium) (Self Finance),39.8,Pune,Commerce
Samajbhushan Baburao Phule Madhyamik And Junior College (English Medium) (Self Finance),39.8,Pune,Commerce
Smt Anusaya Ovhal Mid Punawale (Marathi Medium) (Self Finance),39.8,Pune,Commerce
"Vardhaman Eng Med School & Jr College, Hadapsar, Pune (English Medium) (Self Finance)",39.8,Pune,Commerce
Agarkar Girls High School Junior College (Marathi Medium) (Unaided),39.8,Pune,Commerce
Camp Education Society'S Highschool & Jr College (Marathi Medium) (Aided),39.6,Pune,Commerce
Narayanrao Sanas Vidyalaya And Vasantrao Sakharam Sanas Junior College (Marathi Medium) (Aided),39.6,Pune,Commerce
Prerana Ucch Madhyamik Vidyalay (Marathi Medium) (Permanent Unaided),39.6,Pune,Commerce
Ces Abhiman High School And Junior College (English Medium) (Permanent Unaided),39.6,Pune,Commerce
Periwinkle English Medium Junior College (English Medium) (Unaided),39.6,Pune,Commerce
Sndt Kanyashala And Jr College Narayan Peth Pune (Marathi Medium) (Aided),39.4,Pune,Commerce
Saraswati Sec.&High Sec.Sch. Akurdi (Marathi Medium) (Permanent Unaided),39.4,Pune,Commerce
Priyadarshani Junior College Of Arts Commerce And Science (English Medium) (Permanent Unaided),39.4,Pune,Commerce
"Khadki Education Society English Medium Arts, Science And Commerce Jr. College (English Medium) (Self Finance)",39.4,Pune,Commerce
Foresight School And Junior College (English Medium) (Self Finance),39.4,Pune,Commerce
Jadhavar English Medium School&Jr College (English Medium) (Self Finance),39.2,Pune,Commerce
Angel Mickey Minie School & Junior College (English Medium) (Self Finance),39.2,Pune,Commerce
Pritam Prakash School And Junior College (English Medium) (Self Finance),39.2,Pune,Commerce
"Limra New Eng School & Jr College, Hadapsar, Pune 28 (English Medium) (Unaided)",39.2,Pune,Commerce
Mes Boys Highschool And Higher Secondary School Pune (Marathi Medium) (Aided),38.8,Pune,Commerce
Asian Jr.College Of Science Commerce And Arts (English Medium) (Permanent Unaided),38.8,Pune,Commerce
Jijamata Girls Highschool And Jr College (English Medium) (Permanent Unaided),38.8,Pune,Commerce
Bhartiy Jain Sagh High Sch (Marathi Medium) (Permanent Unaided),38.8,Pune,Commerce
Krantiveer Chphekar Mad Vid (Marathi Medium) (Unaided),38.8,Pune,Commerce
St Annes High School And Junior College (English Medium) (Unaided),38.8,Pune,Commerce
Navmaharashtra Vidyalaya Boys (Marathi Medium) (Aided),38.6,Pune,Commerce
Sancheti College Of Arts Commerce And Science (Marathi Medium) (Permanent Unaided),38.6,Pune,Commerce
Sayajinath Maharaj Mad Vidy (Marathi Medium) (Permanent Unaided),38.6,Pune,Commerce
Abhinav Education Society English Medium School And Jr College Ambegaon Bk Pune (English Medium) (Self Finance),38.6,Pune,Commerce
Maharashtra College Of Science & Commerce (English Medium) (Self Finance),38.6,Pune,Commerce
Poona Public High School And Junior College Bhosari Pune (English Medium) (Self Finance),38.6,Pune,Commerce
Guru Nanak Junior College (English Medium) (Aided),38.4,Pune,Commerce
Saraswati Vishwa Vid. Eng. Sch.&Jr. Coll. (English Medium) (Permanent Unaided),38.4,Pune,Commerce
Genba Sopanrao Moze Sec And Higher Sec Prashala (Marathi Medium) (Unaided),38.4,Pune,Commerce
Chandrkant Dangat Secondary (Marathi Medium) (Unaided),38.4,Pune,Commerce
Shri Pandharinath Alias Annasaheb Tukaram Pathare Arts Commerce And Science Junior College (Marathi Medium) (Unaided),38.4,Pune,Commerce
Hutatma Rajguru Highsch Boys (Marathi Medium) (Aided),38.2,Pune,Commerce
Sinhgad College Of Arts Science And Commerce Junior College Narhe (English Medium) (Permanent Unaided),38.2,Pune,Commerce
Dr. Ambedkar Arts Comm Sci Jr College Bhairavnagar Dhanori Pune (English Medium) (Permanent Unaided),38.2,Pune,Commerce
Narayanrao Genba Moze Jr.College (Marathi Medium) (Self Finance),38.2,Pune,Commerce
Vidya Valley North Point Junior College (Marathi Medium) (Self Finance),38.2,Pune,Commerce
T. G. Gosavi Secondary And Higher Secondary School Vitthalwadi (Marathi Medium) (Unaided),38.2,Pune,Commerce
Shrichakradhar Swami Madhyamik Vidyalaya (Marathi Medium) (Permanent Unaided),38,Pune,Commerce
Unique English Medium School And Junior College (English Medium) (Permanent Unaided),38,Pune,Commerce
Jog Eng.Med. Sec. School & Jr. College (English Medium) (Permanent Unaided),38,Pune,Commerce
Shree Hanumantrao B Bhosle Junior College Neharungar Pimpri (Marathi Medium) (Self Finance),38,Pune,Commerce
Navmaharashtra Vidyalaya Boys (Marathi Medium) (Unaided),38,Pune,Commerce
Gora Kumbhar High School And Junior College (Marathi Medium) (Aided),37.8,Pune,Commerce
Agarkar Girls High School Junior College (Marathi Medium) (Aided),37.8,Pune,Commerce
Rahemani Urdu High School (English Medium) (Permanent Unaided),37.8,Pune,Commerce
Rasiklal M Dhariwal English Medium School And Jr College (English Medium) (Permanent Unaided),37.8,Pune,Commerce
"Karmaveer College Of Commerce And Science, Narhe, Pune (English Medium) (Self Finance)",37.8,Pune,Commerce
Pune Cambridge Public School (English Medium) (Self Finance),37.8,Pune,Commerce
Cms Engl Medium Higher Secondary School Nigdi Pune (English Medium) (Self Finance),37.8,Pune,Commerce
Arham School And Junior College (English Medium) (Self Finance),37.8,Pune,Commerce
"Sant Mai Jr. College Of Arts, Commerce And Science, Shivajinar, Pune (English Medium) (Self Finance)",37.8,Pune,Commerce
"Baburaoji Gholap Jr College, Sangavi, Pune (Marathi Medium) (Unaided)",37.8,Pune,Commerce
Rajmata Jijau Mahavidyalaya Landewadi (Marathi Medium) (Aided),37.6,Pune,Commerce
Shri Mhalsakant Sec And High Sec School Akurdi Pune (Marathi Medium) (Aided),37.6,Pune,Commerce
Hillgreen High School And Junior College (English Medium) (Permanent Unaided),37.6,Pune,Commerce
"Shri Saraswati Vidya Mandir, Madhyamik And Junior College (English Medium) (Self Finance)",37.6,Pune,Commerce
Vishwakarma Arts Commerce And Science Junior College (English Medium) (Self Finance),37.6,Pune,Commerce
"Jaikranti School And Jr. College, Katraj, Ambegaon Road, Pune (English Medium) (Self Finance)",37.6,Pune,Commerce
Shahu Mandir Junior Mahavidyalay (English Medium) (Unaided),37.6,Pune,Commerce
Little Flower Junior College Sangavi (English Medium) (Self Finance),37.4,Pune,Commerce
Rajmata Jijau Mahavidyalaya Landewadi (English Medium) (Self Finance),37.4,Pune,Commerce
Mahatma Phule Mahavidyalaya Pimpri (Marathi Medium) (Aided),37.2,Pune,Commerce
Gendibai Tarachand Chopda High And Jr College (Marathi Medium) (Aided),37.2,Pune,Commerce
"Sinhgad College Of Arts, Sci & Com (English Medium) (Permanent Unaided)",37.2,Pune,Commerce
Asm'S Geetamata Eng. A.C.S.Jr. Coll. Chinchwad (English Medium) (Permanent Unaided),37.2,Pune,Commerce
Rims International School And Junior College Undri (English Medium) (Self Finance),37.2,Pune,Commerce
Vidya Valley North Point Junior College (English Medium) (Self Finance),37.2,Pune,Commerce
Pratibha Jr. College Chinchwad (English Medium) (Self Finance),37.2,Pune,Commerce
Ideal Junior College (English Medium) (Unaided),37.2,Pune,Commerce
Balaji Junior College Of Arts Commerce And Science (English Medium) (Unaided),37.2,Pune,Commerce
Kilbil High School And Jr College Pune (English Medium) (Permanent Unaided),37,Pune,Commerce
Seth Dagduram Katariya Jr College (English Medium) (Permanent Unaided),37,Pune,Commerce
"Crescent High School & Jr. College, Gultekadi, Pune (English Medium) (Permanent Unaided)",37,Pune,Commerce
Mce Society'S English Medium High School And Junior College (English Medium) (Self Finance),37,Pune,Commerce
"New Dawn Jr College, Kondhawa, Pune (English Medium) (Self Finance)",37,Pune,Commerce
Abeda Inamdar Junior College For Girls Pune (English Medium) (Unaided),37,Pune,Commerce
Snbp School And Junior College (English Medium) (Permanent Unaided),36.8,Pune,Commerce
Pune Cambridge Public School (Marathi Medium) (Self Finance),36.8,Pune,Commerce
"Asm'S Commerce Science & Information Technology Junior College, Pimpari, Pune (English Medium) (Self Finance)",36.8,Pune,Commerce
Suryadatta Junior College Bavdhan (English Medium) (Unaided),36.8,Pune,Commerce
Kai Sou Laxmibai Rajaram Shinde Highschool And Junior College (Marathi Medium) (Aided),36.6,Pune,Commerce
Smt Savitribai Phule Prashala And Junior College (Marathi Medium) (Aided),36.6,Pune,Commerce
Dr Babasaheb Ambedkar Commerce And M V R Shinde Arts College (Marathi Medium) (Aided),36.6,Pune,Commerce
Dr. Babasaheb Ambedkar Jr. College (Marathi Medium) (Permanent Unaided),36.6,Pune,Commerce
Smt Susheela Bahudhani Junior College (English Medium) (Permanent Unaided),36.6,Pune,Commerce
Shri Sayajinath Maharaj English Medium School & Junior College (English Medium) (Permanent Unaided),36.6,Pune,Commerce
Genba Sopanrao Moze Sec And Higher Sec Prashala (English Medium) (Unaided),36.6,Pune,Commerce
Dnyan Prasarak Vidya Mandir Jr College (Marathi Medium) (Unaided),36.6,Pune,Commerce
Rajmata Jijau Mahavidyalaya Landewadi (Marathi Medium) (Unaided),36.6,Pune,Commerce
"Dr. D. Y. Patil Arts, Commerce & Science Junior College, Pune (English Medium) (Permanent Unaided)",36.6,Pune,Commerce
Yashwantrao Mohite College (Marathi Medium) (Aided),36.4,Pune,Commerce
Abasaheb Atre Din Prashala (Marathi Medium) (Aided),36.4,Pune,Commerce
Jijamata Girls Highschool And Jr College (Marathi Medium) (Aided),36.4,Pune,Commerce
Raja Shr Ee Shivray Pratishthan Madhyamik Vidyalaya And Junior College (Marathi Medium) (Self Finance),36.4,Pune,Commerce
"Snbp Jr College, Chikhali, Pune (English Medium) (Self Finance)",36.4,Pune,Commerce
Arihant Arts Commerce And Science Junior College Bavdhan (English Medium) (Self Finance),36.4,Pune,Commerce
M.P. International School And Junior College (English Medium) (Self Finance),36.4,Pune,Commerce
Alegaonkar H S And Smt C K Goyal Junior College Khadki (Marathi Medium) (Aided),36.2,Pune,Commerce
Dr. Ambedkar College Of Arts And Commerce (Marathi Medium) (Aided),36.2,Pune,Commerce
Rba Junior College Of Arts Science And Commerce (English Medium) (Permanent Unaided),36.2,Pune,Commerce
Pushpadevi Dugad Jr. College (English Medium) (Permanent Unaided),36.2,Pune,Commerce
Abasaheb Atre English Medium Junior College Pune (English Medium) (Permanent Unaided),36.2,Pune,Commerce
Raosaheb Pathwardhan Vid (Marathi Medium) (Aided),36,Pune,Commerce
Siddhivinayak Jr. College (English Medium) (Permanent Unaided),36,Pune,Commerce
"Shrimati Kalawati Badhe Junior College, Kondhwa, Pun (English Medium) (Self Finance)",36,Pune,Commerce
Arihant Arts Commerce And Science Junior College (English Medium) (Self Finance),36,Pune,Commerce
"Kilbil Pri,Sec &Hig Sec School Pimple Gurav (English Medium) (Self Finance)",36,Pune,Commerce
"Cambridge Arts,Com And Sci College (English Medium) (Self Finance)",36,Pune,Commerce
Tikaram Jagannath Arts Com & Science College (Marathi Medium) (Aided),35.8,Pune,Commerce
Shivaji Maratha Highschool (Marathi Medium) (Aided),35.8,Pune,Commerce
Hhcp High School And Junior College For Girls Huzurpaga Laxmi Road Pune (Marathi Medium) (Aided),35.8,Pune,Commerce
"Pune International School And Jr College, Vidyanagar, Pune (English Medium) (Self Finance)",35.8,Pune,Commerce
Pune Cambridge Public School And Junior College (English Medium) (Self Finance),35.8,Pune,Commerce
Shikshan Maharshi Dr D Y Patil Arts Com And Science Jr College Shahunagar Chinchwad Pune (English Medium) (Self Finance),35.8,Pune,Commerce
Bharati Vidyapeeths Shankarrao More Vidyalaya Loknete Subrao Kadam Junior College Erandawane Pune (Marathi Medium) (Aided),35.6,Pune,Commerce
Shahu Mandir Junior Mahavidyalay (Marathi Medium) (Aided),35.6,Pune,Commerce
Kai Sundarabai Rathi High Sch. (Marathi Medium) (Aided),35.6,Pune,Commerce
Raja Dhanraj Girji Junior College (Marathi Medium) (Aided),35.6,Pune,Commerce
"Dr. Ramesh Kumar Sachdeva Jr. College, Kharadi, Pune (English Medium) (Self Finance)",35.6,Pune,Commerce
Dnyanprobodhini Madhymik And Kanishtha Mahavidyalaya (Marathi Medium) (Unaided),35.6,Pune,Commerce
Hadpsar Vidhyalaya Ramtekadi And Jr College (Marathi Medium) (Unaided),35.6,Pune,Commerce
Dr Babasaheb Ambedkar Commerce And M V R Shinde Arts College (English Medium) (Unaided),35.6,Pune,Commerce
Shivaji Maratha Highschool (Marathi Medium) (Unaided),35.6,Pune,Commerce
C.E.S.'S Chaitanya English Medium Junior College (English Medium) (Self Finance),35.4,Pune,Commerce
Guru Ganesh V M (Marathi Medium) (Unaided),35.4,Pune,Commerce
Swami Vivekanand Vidyamandhir D T Patil Jr College Dapodi (Marathi Medium) (Aided),35.2,Pune,Commerce
Hujurpaga Katraj Higher Secondary School (Marathi Medium) (Permanent Unaided),35.2,Pune,Commerce
Mamasaheb Mohol Jr. College (Marathi Medium) (Aided),35,Pune,Commerce
S.N.D.T. Arts & Commerce College For Women Karve Road Pune (Marathi Medium) (Aided),35,Pune,Commerce
"Smt. C.B. Adarsh High.Sec. School, 1205,Ca Rd., Gandhibag, Nagpur (English Medium) (Aided)",83,Nagpur,Commerce
"Dr. Ambedkar Jr.College, Deeksha Bhoomi, Nagpur (English Medium) (Aided)",71.4,Nagpur,Commerce
Kamla Nehru Mahavidyalaya Sakkardara Chowk Nagpur (English Medium) (Aided),71,Nagpur,Commerce
"Dada Ramchand Bakhru Sindhu Jr. College, Panchpaoli, Nagpur (English Medium) (Aided)",66.6,Nagpur,Commerce
"Dr. Ambedkar Jr.College, Deeksha Bhoomi, Nagpur (English Medium) (Unaided)",66,Nagpur,Commerce
"Vmv Commerce Jmt Arts & Jjp Science Jr. College, Wardhman Nagar, Nagpur (English Medium) (Aided)",62,Nagpur,Commerce
"Gayatri Higher Sec. School, Giribalaji Nagar, Hudkeshwar Road, Nagpur (English Medium) (Self Finance)",61.2,Nagpur,Commerce
"Smt. Kaushalyadevi Maheshwari Mahila Jr. College, 85/C, Hiwri Layout, Wardhaman Nagar, Nagpur (English Medium) (Permanent Unaided)",60.6,Nagpur,Commerce
G S College Of Commerce And Economics Nagpur (English Medium) (Aided),60,Nagpur,Commerce
"Dada Ramchand Bakhru Sindhu Jr. College, Panchpaoli, Nagpur (English Medium) (Unaided)",60,Nagpur,Commerce
"M.A.K. Azad Higher Secondary School, Gandhibag, Nagpur (Urdu Medium) (Aided)",58.6,Nagpur,Commerce
"Bhartiya Krishi High.Sec.School. Zingabai Takali, Nagpur (Marathi Medium) (Aided)",58.2,Nagpur,Commerce
"Vmv Commerce Jmt Arts & Jjp Science Jr. College, Wardhman Nagar, Nagpur (English Medium) (Unaided)",57.8,Nagpur,Commerce
"Baba Nanak Sindhi Hindi High.Sec. School Garoba Maidan, Nagpur (English Medium) (Unaided)",57.6,Nagpur,Commerce
"Mkh Sancheti Public School & Junior College , Hindustan Colony, Opp Sai Mandir ,Wardha Road, Nagpur (English Medium) (Permanent Unaided)",56.6,Nagpur,Commerce
"C.G.Wanjari High.Sec.School, 21/113,Shivani Colony, Hudkeshwar Road, Nagpur (English Medium) (Self Finance)",55.4,Nagpur,Commerce
"St. Paul High.Sec. School, Hudkeshwar Road, Nagpur (Marathi Medium) (Permanent Unaided)",55,Nagpur,Commerce
"Adarsh Sanskar High.Sec. School, Shrikrishna Nagar, Chowk, Nagpur (English Medium) (Permanent Unaided)",54.8,Nagpur,Commerce
"Mejar Hemant Jakate Institute Of Sci.&Comm. Mhalgi Nagar, Nagpur (English Medium) (Unaided)",54.2,Nagpur,Commerce
"Prerna High.Sec. School, Reshimbag Chowk, Nagpur (English Medium) (Permanent Unaided)",53.6,Nagpur,Commerce
"Shri Binzani City Jr.College, Umred Road, Sakkardara, Nagpur (English Medium) (Aided)",53,Nagpur,Commerce
"Prerna High.Sec. School, Reshimbag Chowk, Nagpur (English Medium) (Self Finance)",52.8,Nagpur,Commerce
Nityanand Junior College Namakganj Itwari Nagpur (English Medium) (Unaided),51.6,Nagpur,Commerce
"D.V.Public School & High.Sec.School, Near Water Tank,Nandanwan, Nagpur (English Medium) (Self Finance)",51.4,Nagpur,Commerce
Blossom School And Junior College Nari Road (English Medium) (Self Finance),51.4,Nagpur,Commerce
Shri Rajendra H.S And Jr College New Nandanwan Nagpur (English Medium) (Unaided),51.4,Nagpur,Commerce
"Smt. C.B. Adarsh High.Sec. School, 1205,Ca Rd., Gandhibag, Nagpur (English Medium) (Unaided)",49.6,Nagpur,Commerce
Hislop Junior College Nagpur (English Medium) (Aided),49,Nagpur,Commerce
R.K.English.High. Sec. School Old Kamptee Road Nagpur (English Medium) (Self Finance),48.8,Nagpur,Commerce
"Swami Sitaramdas Public School & High. Sec. School, Ganesh Nagar, Great Nag Road, Nagpur (English Medium) (Self Finance)",47.8,Nagpur,Commerce
"Jyotiba High.Sec. School, Trimurty Chowk, Nandanwan, Nagpur (English Medium) (Unaided)",47,Nagpur,Commerce
Sudha Sureshbhai Maniar Jr College Of Computer And Management (English Medium) (Self Finance),46.8,Nagpur,Commerce
Mahatma Gandhi Centennial Sindhu Junior College Jaripatka Nagpur (English Medium) (Self Finance),46.4,Nagpur,Commerce
Suyash Junior College (English Medium) (Self Finance),45.2,Nagpur,Commerce
G S College Of Commerce And Economics Nagpur (Marathi Medium) (Aided),44.6,Nagpur,Commerce
"Gurukunj High. Sec. School, Godhani Road, Zingabai Takali, Nagpur (English Medium) (Permanent Unaided)",44.6,Nagpur,Commerce
Shri Gajanan Vidyalaya And Kanistha Mahavidyalaya (Marathi Medium) (Aided),43.8,Nagpur,Commerce
"Pratapnagar High. Sec. School, Pratapnagar, Nagpur (English Medium) (Self Finance)",43.6,Nagpur,Commerce
"Yashwant English High. Sec.School,Dabha,� Nagpur (English Medium) (Self Finance)",43.6,Nagpur,Commerce
"Qidwai High.Sec. School, Aasi Nagar, Teka, Nagpur (Urdu Medium) (Aided)",43,Nagpur,Commerce
"Bhide Girls High.Sec. School, Netaji Market, Sitabuldi, Nagpur (Marathi Medium) (Aided)",43,Nagpur,Commerce
"J.R.K. Higher Sec. School, Aradhana Nagar, Kharbi Road, Nagpur (English Medium) (Self Finance)",43,Nagpur,Commerce
"Nmc M.A.K.Azad Urdu High.School And Junior College Asinagar, Nagpur (Urdu Medium) (Unaided)",42.8,Nagpur,Commerce
"Arya Higher Sec. School, Sarwashree Nagar, Dighori Naka, Nagpur (English Medium) (Self Finance)",42.6,Nagpur,Commerce
"Dayanand Arya Kanya High.Sec. School, Jaripatka, Nagpur (Hindi Medium) (Aided)",42.4,Nagpur,Commerce
"St.M.B.Convent & High.Sec. School, Anand Nagar, Rani Durgawati Chowk, Nagpuir (English Medium) (Self Finance)",42.4,Nagpur,Commerce
"N.M.C.Tajabad Urdu High.Sec.School, Ek Minara Masjid, Bada Tajabad, Nagpur (Urdu Medium) (Unaided)",42.4,Nagpur,Commerce
"Bhagwati Girls High.Sec. School, New Nandanvan, Nagpur (English Medium) (Unaided)",42.2,Nagpur,Commerce
Shree Balaji Convent Highschool And Junior College (English Medium) (Self Finance),41.6,Nagpur,Commerce
"St. George Jr. College, Mudliar Layout, Shantinagar, Nagpur (Marathi Medium) (Unaided)",41.6,Nagpur,Commerce
"Smt. Annpurnabai Deshmukh High.Sec. School, Behind Harihar Mandir, Lakdaganj, Nagpur (Marathi Medium) (Aided)",41.4,Nagpur,Commerce
"Navpratibha High.Sec. School, Ayurvedic Layout, Mirchi Bazar, Nagpur (English Medium) (Unaided)",41.4,Nagpur,Commerce
Kamla Nehru Mahavidyalaya Sakkardara Chowk Nagpur (English Medium) (Unaided),41.2,Nagpur,Commerce
"Dr. Ambedkar Jr.College, Deeksha Bhoomi, Nagpur (Marathi Medium) (Aided)",41,Nagpur,Commerce
"Jaibai Choudhary High.Sec.School Of Arts & Comm. New Colony, Mangalwari Bazar, Sadar, Nagpur (Marathi Medium) (Aided)",40.4,Nagpur,Commerce
"G.H.Raisoni High.Sec. School, 271/B, Lake View Hingna Road, Nagpur (English Medium) (Permanent Unaided)",40.4,Nagpur,Commerce
"Tidke High.Sec. School, Katol Road, Nagpur (Marathi Medium) (Aided)",40.2,Nagpur,Commerce
"Al Ameen High.Sec. School, Jafar Nagar, Teachers Colony, Nagpur (English Medium) (Permanent Unaided)",40.2,Nagpur,Commerce
St. Ursula Shine High School And Jr College Civil Lines Nagpur (English Medium) (Self Finance),40.2,Nagpur,Commerce
"Shri Dadasaheb Dhanwatey Nagar High.Sec.School, Mahal, Nagpur (Marathi Medium) (Aided)",40,Nagpur,Commerce
"New English High. Sec. School, Congress Nagar,Nagpur (Marathi Medium) (Aided)",40,Nagpur,Commerce
"Vidarbha Buniyadi High.Sec. School, Sakkardara Chowk, Umred Road, Nagpur (Marathi Medium) (Aided)",40,Nagpur,Commerce
"St. Paul High.Sec. School, Hudkeshwar Road, Nagpur (English Medium) (Permanent Unaided)",40,Nagpur,Commerce
"Sandipani Junior College, Near Friends Colony, Hazari Pahad, Nagpur (English Medium) (Self Finance)",40,Nagpur,Commerce
"St. Ursula Girls High. Sec. School. Civil Lines, Nagpur (English Medium) (Permanent Unaided)",39.8,Nagpur,Commerce
"J.N.Tata Parsi Girls High.Sec.School, Opp. Gandhi Sagar, Ganji Peth,Nagpur (English Medium) (Permanent Unaided)",39.8,Nagpur,Commerce
